DATE,GOLDAMGBD228NLBM
1968-04-01,39.100
1968-05-01,42.000
1968-06-01,40.950
1968-07-01,38.900
1968-08-01,39.850
1968-09-01,39.700
1968-10-01,39.200
1968-11-01,39.850
1968-12-01,41.950
1969-01-01,42.550
1969-02-01,42.775
1969-03-01,43.100
1969-04-01,43.600
1969-05-01,43.150
1969-06-01,41.225
1969-07-01,41.450
1969-08-01,40.950
1969-09-01,40.650
1969-10-01,39.850
1969-11-01,35.550
1969-12-01,35.210
1970-01-01,34.980
1970-02-01,35.000
1970-03-01,35.300
1970-04-01,35.850
1970-05-01,35.500
1970-06-01,35.510
1970-07-01,35.290
1970-08-01,35.775
1970-09-01,36.240
1970-10-01,37.400
1970-11-01,37.600
1970-12-01,37.375
1971-01-01,38.000
1971-02-01,38.790
1971-03-01,38.800
1971-04-01,39.600
1971-05-01,40.800
1971-06-01,40.200
1971-07-01,42.475
1971-08-01,41.000
1971-09-01,42.475
1971-10-01,42.400
1971-11-01,43.550
1971-12-01,43.500
1972-01-01,46.950
1972-02-01,48.400
1972-03-01,48.375
1972-04-01,49.500
1972-05-01,59.300
1972-06-01,64.100
1972-07-01,68.900
1972-08-01,66.800
1972-09-01,64.100
1972-10-01,64.425
1972-11-01,63.600
1972-12-01,64.700
1973-01-01,66.000
1973-02-01,85.300
1973-03-01,90.250
1973-04-01,90.700
1973-05-01,114.500
1973-06-01,123.500
1973-07-01,115.200
1973-08-01,104.000
1973-09-01,100.250
1973-10-01,97.250
1973-11-01,100.250
1973-12-01,112.250
1974-01-01,133.250
1974-02-01,169.500
1974-03-01,173.000
1974-04-01,168.500
1974-05-01,156.500
1974-06-01,146.750
1974-07-01,154.000
1974-08-01,155.250
1974-09-01,147.500
1974-10-01,166.400
1974-11-01,182.000
1974-12-01,187.500
1975-01-01,176.250
1975-02-01,181.750
1975-03-01,177.750
1975-04-01,167.400
1975-05-01,167.750
1975-06-01,166.000
1975-07-01,166.400
1975-08-01,161.500
1975-09-01,138.250
1975-10-01,143.400
1975-11-01,138.250
1975-12-01,140.250
1976-01-01,128.000
1976-02-01,132.300
1976-03-01,129.500
1976-04-01,128.150
1976-05-01,125.250
1976-06-01,123.800
1976-07-01,112.400
1976-08-01,103.050
1976-09-01,116.100
1976-10-01,122.300
1976-11-01,130.100
1976-12-01,134.550
1977-01-01,132.100
1977-02-01,142.250
1977-03-01,149.800
1977-04-01,146.500
1977-05-01,143.200
1977-06-01,142.950
1977-07-01,144.500
1977-08-01,146.000
1977-09-01,153.900
1977-10-01,160.800
1977-11-01,159.800
1977-12-01,165.600
1978-01-01,175.200
1978-02-01,182.000
1978-03-01,180.750
1978-04-01,170.000
1978-05-01,184.900
1978-06-01,183.200
1978-07-01,198.900
1978-08-01,207.300
1978-09-01,217.450
1978-10-01,243.650
1978-11-01,193.700
1978-12-01,224.500
1979-01-01,233.050
1979-02-01,250.900
1979-03-01,239.650
1979-04-01,243.450
1979-05-01,277.150
1979-06-01,276.450
1979-07-01,295.350
1979-08-01,317.750
1979-09-01,397.000
1979-10-01,379.750
1979-11-01,417.200
1979-12-01,524.000
1980-01-01,668.000
1980-02-01,640.000
1980-03-01,503.250
1980-04-01,519.250
1980-05-01,531.400
1980-06-01,662.500
1980-07-01,618.000
1980-08-01,633.750
1980-09-01,670.000
1980-10-01,636.000
1980-11-01,621.500
1980-12-01,589.500
1981-01-01,507.500
1981-02-01,490.250
1981-03-01,514.250
1981-04-01,481.000
1981-05-01,478.750
1981-06-01,421.500
1981-07-01,405.250
1981-08-01,425.500
1981-09-01,426.500
1981-10-01,429.000
1981-11-01,415.500
1981-12-01,400.000
1982-01-01,388.250
1982-02-01,363.250
1982-03-01,320.500
1982-04-01,356.750
1982-05-01,325.500
1982-06-01,314.000
1982-07-01,342.500
1982-08-01,409.600
1982-09-01,394.750
1982-10-01,422.000
1982-11-01,428.250
1982-12-01,448.000
1983-01-01,503.000
1983-02-01,419.750
1983-03-01,414.250
1983-04-01,428.500
1983-05-01,439.000
1983-06-01,416.750
1983-07-01,422.250
1983-08-01,414.500
1983-09-01,404.000
1983-10-01,383.500
1983-11-01,405.750
1983-12-01,381.500
1984-01-01,371.900
1984-02-01,396.600
1984-03-01,388.500
1984-04-01,376.200
1984-05-01,383.450
1984-06-01,375.250
1984-07-01,341.600
1984-08-01,347.700
1984-09-01,344.150
1984-10-01,334.500
1984-11-01,328.600
1984-12-01,309.000
1985-01-01,304.900
1985-02-01,290.500
1985-03-01,329.800
1985-04-01,324.650
1985-05-01,313.150
1985-06-01,316.500
1985-07-01,328.100
1985-08-01,335.750
1985-09-01,326.500
1985-10-01,325.750
1985-11-01,327.400
1985-12-01,327.000
1986-01-01,354.000
1986-02-01,338.250
1986-03-01,345.500
1986-04-01,344.750
1986-05-01,343.350
1986-06-01,345.500
1986-07-01,357.750
1986-08-01,386.000
1986-09-01,421.200
1986-10-01,401.500
1986-11-01,390.000
1986-12-01,390.900
1987-01-01,407.300
1987-02-01,405.750
1987-03-01,419.000
1987-04-01,454.500
1987-05-01,451.750
1987-06-01,447.100
1987-07-01,464.250
1987-08-01,455.900
1987-09-01,459.150
1987-10-01,468.000
1987-11-01,493.900
1987-12-01,486.500
1988-01-01,465.250
1988-02-01,423.750
1988-03-01,458.000
1988-04-01,449.750
1988-05-01,454.000
1988-06-01,436.850
1988-07-01,432.700
1988-08-01,426.350
1988-09-01,396.150
1988-10-01,412.300
1988-11-01,421.300
1988-12-01,410.150
1989-01-01,394.850
1989-02-01,386.750
1989-03-01,382.300
1989-04-01,381.300
1989-05-01,363.500
1989-06-01,371.150
1989-07-01,369.100
1989-08-01,359.600
1989-09-01,369.000
1989-10-01,376.050
1989-11-01,406.800
1989-12-01,401.000
1990-01-01,417.550
1990-02-01,409.100
1990-03-01,372.200
1990-04-01,371.550
1990-05-01,363.700
1990-06-01,352.400
1990-07-01,371.100
1990-08-01,388.100
1990-09-01,406.100
1990-10-01,379.250
1990-11-01,384.800
1990-12-01,391.000
