Month,BTC,GOLD
2004-01,0,5
2004-02,0,4
2004-03,0,3
2004-04,0,4
2004-05,0,3
2004-06,0,3
2004-07,0,3
2004-08,0,3
2004-09,0,2
2004-10,0,3
2004-11,0,3
2004-12,0,4
2005-01,0,4
2005-02,0,3
2005-03,0,3
2005-04,0,3
2005-05,0,2
2005-06,0,2
2005-07,0,3
2005-08,0,3
2005-09,0,3
2005-10,0,3
2005-11,0,4
2005-12,0,6
2006-01,0,5
2006-02,0,5
2006-03,0,4
2006-04,0,6
2006-05,0,9
2006-06,0,7
2006-07,0,6
2006-08,0,5
2006-09,0,5
2006-10,0,4
2006-11,0,4
2006-12,0,4
2007-01,0,4
2007-02,0,4
2007-03,0,4
2007-04,0,4
2007-05,0,4
2007-06,0,3
2007-07,0,4
2007-08,0,4
2007-09,0,5
2007-10,0,5
2007-11,0,6
2007-12,0,5
2008-01,0,8
2008-02,0,6
2008-03,0,10
2008-04,0,8
2008-05,0,7
2008-06,0,6
2008-07,0,7
2008-08,0,9
2008-09,0,13
2008-10,0,16
2008-11,0,10
2008-12,0,9
2009-01,0,8
2009-02,0,11
2009-03,0,10
2009-04,0,8
2009-05,0,7
2009-06,0,8
2009-07,0,6
2009-08,0,6
2009-09,0,9
2009-10,0,10
2009-11,0,12
2009-12,0,13
2010-01,0,9
2010-02,0,9
2010-03,0,8
2010-04,0,7
2010-05,0,11
2010-06,0,9
2010-07,0,9
2010-08,0,9
2010-09,0,10
2010-10,0,11
2010-11,0,12
2010-12,0.5,12
2011-01,0,11
2011-02,0,11
2011-03,0.5,10
2011-04,0.5,12
2011-05,0.5,12
2011-06,0.5,10
2011-07,0.5,13
2011-08,0.5,28
2011-09,0.5,24
2011-10,0.5,20
2011-11,0.5,17
2011-12,0.5,18
2012-01,0.5,16
2012-02,0.5,14
2012-03,0.5,14
2012-04,0.5,12
2012-05,0.5,13
2012-06,0.5,13
2012-07,0.5,12
2012-08,0.5,12
2012-09,0.5,14
2012-10,0.5,13
2012-11,0.5,14
2012-12,0.5,13
2013-01,0.5,13
2013-02,0.5,14
2013-03,0.5,13
2013-04,1,35
2013-05,0.5,23
2013-06,0.5,20
2013-07,0.5,21
2013-08,0.5,18
2013-09,0.5,17
2013-10,0.5,15
2013-11,2,13
2013-12,3,15
2014-01,2,14
2014-02,3,13
2014-03,1,13
2014-04,1,13
2014-05,1,13
2014-06,1,15
2014-07,1,13
2014-08,1,11
2014-09,1,15
2014-10,1,15
2014-11,1,20
2014-12,1,16
2015-01,1,15
2015-02,1,14
2015-03,1,15
2015-04,1,12
2015-05,1,11
2015-06,1,12
2015-07,1,21
2015-08,1,23
2015-09,1,15
2015-10,1,14
2015-11,2,16
2015-12,1,16
2016-01,1,15
2016-02,1,17
2016-03,1,15
2016-04,1,14
2016-05,1,15
2016-06,3,18
2016-07,2,17
2016-08,1,15
2016-09,1,15
2016-10,1,18
2016-11,2,23
2016-12,2,21
2017-01,4,18
2017-02,3,15
2017-03,4,15
2017-04,3,14
2017-05,11,14
2017-06,11,15
2017-07,8,15
2017-08,15,15
2017-09,16,15
2017-10,17,16
2017-11,39,15
2017-12,100,18
2018-01,52,16
2018-02,45,15
2018-03,23,14
2018-04,20,15
2018-05,14,15
2018-06,14,14
2018-07,12,16
2018-08,11,18
2018-09,10,16
2018-10,7,18
2018-11,11,17
2018-12,13,18
2019-01,8,18
2019-02,7,19
2019-03,6,19
2019-04,9,17
2019-05,15,18
2019-06,18,21
2019-07,16,24
2019-08,12,35
2019-09,9,40
2019-10,9,32
2019-11,8,28
2019-12,7,25
2020-01,9,35
2020-02,10,36
2020-03,17,71
2020-04,11,39
2020-05,14,35
2020-06,9,38
2020-07,9,49
2020-08,12,80
2020-09,8,57
2020-10,9,49
2020-11,20,52
2020-12,29,52
2021-01,64,50
2021-02,65,73
2021-03,47,74
2021-04,46,53
2021-05,66,46
