DATE,GOLDPMGBD228NLBM_NBD19680401
1968-04-01,100.00000
1968-04-02,98.93899
1968-04-03,99.73475
1968-04-04,98.01061
1968-04-05,98.14324
1968-04-08,98.27586
1968-04-09,99.46950
1968-04-10,100.00000
1968-04-11,100.79576
1968-04-12,.
1968-04-15,.
1968-04-16,100.79576
1968-04-17,100.26525
1968-04-18,99.60212
1968-04-19,99.86737
1968-04-22,100.79576
1968-04-23,101.85676
1968-04-24,101.45889
1968-04-25,101.59151
1968-04-26,102.51989
1968-04-29,102.78515
1968-04-30,103.71353
1968-05-01,103.97878
1968-05-02,104.64191
1968-05-03,103.71353
1968-05-06,105.43767
1968-05-07,104.24403
1968-05-08,105.43767
1968-05-09,105.30504
1968-05-10,105.03979
1968-05-13,104.77454
1968-05-14,105.57029
1968-05-15,106.76393
1968-05-16,112.06897
1968-05-17,110.07958
1968-05-20,112.20159
1968-05-21,112.46684
1968-05-22,110.21220
1968-05-23,109.81432
1968-05-24,110.74271
1968-05-27,110.07958
1968-05-28,110.07958
1968-05-29,110.34483
1968-05-30,111.27321
1968-05-31,111.27321
1968-06-03,.
1968-06-04,109.15119
1968-06-05,109.28382
1968-06-06,109.28382
1968-06-07,109.41645
1968-06-10,109.54907
1968-06-11,110.21220
1968-06-12,111.14058
1968-06-13,109.54907
1968-06-14,108.75332
1968-06-17,107.95756
1968-06-18,109.01857
1968-06-19,109.81432
1968-06-20,109.01857
1968-06-21,108.88594
1968-06-24,108.48806
1968-06-25,108.62069
1968-06-26,108.35544
1968-06-27,108.48806
1968-06-28,108.48806
1968-07-01,108.22281
1968-07-02,108.48806
1968-07-03,108.88594
1968-07-04,109.15119
1968-07-05,108.75332
1968-07-08,108.35544
1968-07-09,105.57029
1968-07-10,106.36605
1968-07-11,103.71353
1968-07-12,104.24403
1968-07-15,103.97878
1968-07-16,102.12202
1968-07-17,100.13263
1968-07-18,100.79576
1968-07-19,102.65252
1968-07-22,102.38727
1968-07-23,103.44828
1968-07-24,103.97878
1968-07-25,103.18302
1968-07-26,103.18302
1968-07-29,103.71353
1968-07-30,103.44828
1968-07-31,103.05040
1968-08-01,103.18302
1968-08-02,103.05040
1968-08-05,103.31565
1968-08-06,102.65252
1968-08-07,102.65252
1968-08-08,101.98939
1968-08-09,102.25464
1968-08-12,102.38727
1968-08-13,103.18302
1968-08-14,103.31565
1968-08-15,103.84615
1968-08-16,103.84615
1968-08-19,103.84615
1968-08-20,104.90716
1968-08-21,106.10080
1968-08-22,105.43767
1968-08-23,104.77454
1968-08-26,104.77454
1968-08-27,105.17241
1968-08-28,105.03979
1968-08-29,105.70292
1968-08-30,105.57029
1968-09-02,.
1968-09-03,105.96817
1968-09-04,105.83554
1968-09-05,106.36605
1968-09-06,105.83554
1968-09-09,106.23342
1968-09-10,106.16711
1968-09-11,106.36605
1968-09-12,106.36605
1968-09-13,106.49867
1968-09-16,106.89655
1968-09-17,106.89655
1968-09-18,107.42706
1968-09-19,107.29443
1968-09-20,107.16180
1968-09-23,107.16180
1968-09-24,107.29443
1968-09-25,107.29443
1968-09-26,107.29443
1968-09-27,106.43236
1968-09-30,105.03979
1968-10-01,104.64191
1968-10-02,103.18302
1968-10-03,103.91247
1968-10-04,103.58090
1968-10-07,105.50398
1968-10-08,105.03979
1968-10-09,103.18302
1968-10-10,103.58090
1968-10-11,104.17772
1968-10-14,104.24403
1968-10-15,103.71353
1968-10-16,103.31565
1968-10-17,104.17772
1968-10-18,103.71353
1968-10-21,103.44828
1968-10-22,103.58090
1968-10-23,103.97878
1968-10-24,103.97878
1968-10-25,104.11141
1968-10-28,104.70822
1968-10-29,104.77454
1968-10-30,103.97878
1968-10-31,103.44828
1968-11-01,103.91247
1968-11-04,103.97878
1968-11-05,104.57560
1968-11-06,104.84085
1968-11-07,104.24403
1968-11-08,104.50928
1968-11-11,104.90716
1968-11-12,105.23873
1968-11-13,105.76923
1968-11-14,105.83554
1968-11-15,106.10080
1968-11-18,105.96817
1968-11-19,106.69761
1968-11-20,107.55968
1968-11-21,106.76393
1968-11-22,106.10080
1968-11-25,106.36605
1968-11-26,105.30504
1968-11-27,105.83554
1968-11-28,105.57029
1968-11-29,105.70292
1968-12-02,106.49867
1968-12-03,106.83024
1968-12-04,107.42706
1968-12-05,107.02918
1968-12-06,107.42706
1968-12-09,107.69231
1968-12-10,107.75862
1968-12-11,108.62069
1968-12-12,108.68700
1968-12-13,108.75332
1968-12-16,108.66048
1968-12-17,109.35013
1968-12-18,111.14058
1968-12-19,110.67639
1968-12-20,110.61008
1968-12-23,110.34483
1968-12-24,.
1968-12-25,.
1968-12-26,.
1968-12-27,110.74271
1968-12-30,111.14058
1968-12-31,111.14058
1969-01-01,.
1969-01-02,110.87533
1969-01-03,111.53846
1969-01-06,111.53846
1969-01-07,111.67109
1969-01-08,112.59947
1969-01-09,112.73210
1969-01-10,112.20159
1969-01-13,111.67109
1969-01-14,112.73210
1969-01-15,113.26260
1969-01-16,112.33422
1969-01-17,111.93634
1969-01-20,111.93634
1969-01-21,112.66578
1969-01-22,112.79841
1969-01-23,111.53846
1969-01-24,111.67109
1969-01-27,111.93634
1969-01-28,112.53316
1969-01-29,112.73210
1969-01-30,112.86472
1969-01-31,112.83820
1969-02-03,112.53316
1969-02-04,112.73210
1969-02-05,113.32891
1969-02-06,113.06366
1969-02-07,112.79841
1969-02-10,112.59947
1969-02-11,112.86472
1969-02-12,112.73210
1969-02-13,112.93103
1969-02-14,112.73210
1969-02-17,113.12997
1969-02-18,112.93103
1969-02-19,113.12997
1969-02-20,113.06366
1969-02-21,113.06366
1969-02-24,113.26260
1969-02-25,113.12997
1969-02-26,113.26260
1969-02-27,113.52785
1969-02-28,113.26260
1969-03-03,113.26260
1969-03-04,113.66048
1969-03-05,114.05836
1969-03-06,114.72149
1969-03-07,115.38462
1969-03-10,116.24668
1969-03-11,113.92573
1969-03-12,113.66048
1969-03-13,114.32361
1969-03-14,114.05836
1969-03-17,114.32361
1969-03-18,114.05836
1969-03-19,114.32361
1969-03-20,114.58886
1969-03-21,114.58886
1969-03-24,114.98674
1969-03-25,114.98674
1969-03-26,115.18568
1969-03-27,115.27851
1969-03-28,114.65517
1969-03-31,113.79310
1969-04-01,114.45623
1969-04-02,114.72149
1969-04-03,115.05305
1969-04-04,.
1969-04-07,.
1969-04-08,115.05305
1969-04-09,115.11936
1969-04-10,115.09284
1969-04-11,115.11936
1969-04-14,114.45623
1969-04-15,113.99204
1969-04-16,114.72149
1969-04-17,114.58886
1969-04-18,114.65517
1969-04-21,114.45623
1969-04-22,114.85411
1969-04-23,114.98674
1969-04-24,114.98674
1969-04-25,114.85411
1969-04-28,115.64987
1969-04-29,115.38462
1969-04-30,115.64987
1969-05-01,115.64987
1969-05-02,115.64987
1969-05-05,115.38462
1969-05-06,115.05305
1969-05-07,115.64987
1969-05-08,115.71618
1969-05-09,115.45093
1969-05-12,115.38462
1969-05-13,115.38462
1969-05-14,115.38462
1969-05-15,115.38462
1969-05-16,115.38462
1969-05-19,115.38462
1969-05-20,115.18568
1969-05-21,115.25199
1969-05-22,115.25199
1969-05-23,115.38462
1969-05-26,.
1969-05-27,115.31830
1969-05-28,114.92042
1969-05-29,114.65517
1969-05-30,114.25729
1969-06-02,113.19629
1969-06-03,112.17507
1969-06-04,111.60477
1969-06-05,110.34483
1969-06-06,107.75862
1969-06-09,109.41645
1969-06-10,112.20159
1969-06-11,109.81432
1969-06-12,110.07958
1969-06-13,110.34483
1969-06-16,108.22281
1969-06-17,109.94695
1969-06-18,109.81432
1969-06-19,109.94695
1969-06-20,109.54907
1969-06-23,109.54907
1969-06-24,108.55438
1969-06-25,108.48806
1969-06-26,108.75332
1969-06-27,109.01857
1969-06-30,109.28382
1969-07-01,109.15119
1969-07-02,109.35013
1969-07-03,110.21220
1969-07-04,110.34483
1969-07-07,111.00796
1969-07-08,111.67109
1969-07-09,110.94164
1969-07-10,111.14058
1969-07-11,111.11406
1969-07-14,111.40584
1969-07-15,111.40584
1969-07-16,110.87533
1969-07-17,111.33952
1969-07-18,111.27321
1969-07-21,111.40584
1969-07-22,111.27321
1969-07-23,110.87533
1969-07-24,111.14058
1969-07-25,111.00796
1969-07-28,110.80902
1969-07-29,110.07958
1969-07-30,110.01326
1969-07-31,109.78780
1969-08-01,109.89390
1969-08-04,109.54907
1969-08-05,109.01857
1969-08-06,108.75332
1969-08-07,108.88594
1969-08-08,109.15119
1969-08-11,109.28382
1969-08-12,109.01857
1969-08-13,109.28382
1969-08-14,109.25729
1969-08-15,109.04509
1969-08-18,109.08488
1969-08-19,109.01857
1969-08-20,109.01857
1969-08-21,108.88594
1969-08-22,108.88594
1969-08-25,108.62069
1969-08-26,108.42175
1969-08-27,108.62069
1969-08-28,108.62069
1969-08-29,108.38196
1969-09-01,.
1969-09-02,108.02387
1969-09-03,108.28912
1969-09-04,108.55438
1969-09-05,108.48806
1969-09-08,108.51459
1969-09-09,108.88594
1969-09-10,108.62069
1969-09-11,108.55438
1969-09-12,108.88594
1969-09-15,108.75332
1969-09-16,108.75332
1969-09-17,108.68700
1969-09-18,108.35544
1969-09-19,108.48806
1969-09-22,108.42175
1969-09-23,108.32891
1969-09-24,108.32891
1969-09-25,108.09019
1969-09-26,108.09019
1969-09-29,107.75862
1969-09-30,107.89125
1969-10-01,108.09019
1969-10-02,108.42175
1969-10-03,108.62069
1969-10-06,108.09019
1969-10-07,108.15650
1969-10-08,108.02387
1969-10-09,108.19629
1969-10-10,108.03714
1969-10-13,107.75862
1969-10-14,107.95756
1969-10-15,108.02387
1969-10-16,107.75862
1969-10-17,107.49337
1969-10-20,107.02918
1969-10-21,106.89655
1969-10-22,106.23342
1969-10-23,106.10080
1969-10-24,106.23342
1969-10-27,106.49867
1969-10-28,106.23342
1969-10-29,106.03448
1969-10-30,105.90186
1969-10-31,105.43767
1969-11-03,104.90716
1969-11-04,104.90716
1969-11-05,104.50928
1969-11-06,103.44828
1969-11-07,102.18833
1969-11-10,101.12732
1969-11-11,101.72414
1969-11-12,100.13263
1969-11-13,100.26525
1969-11-14,100.46419
1969-11-17,100.33156
1969-11-18,99.60212
1969-11-19,97.21485
1969-11-20,96.28647
1969-11-21,95.82228
1969-11-24,94.16446
1969-11-25,94.03183
1969-11-26,94.42971
1969-11-27,94.29708
1969-11-28,94.42971
1969-12-01,94.29708
1969-12-02,93.63395
1969-12-03,93.83289
1969-12-04,93.50133
1969-12-05,93.36870
1969-12-08,92.97082
1969-12-09,92.83820
1969-12-10,92.97082
1969-12-11,93.36870
1969-12-12,93.63395
1969-12-15,93.16976
1969-12-16,92.97082
1969-12-17,93.03714
1969-12-18,92.86472
1969-12-19,92.83820
1969-12-22,93.23607
1969-12-23,93.12997
1969-12-24,.
1969-12-25,.
1969-12-26,.
1969-12-29,93.36870
1969-12-30,93.36870
1969-12-31,93.36870
1970-01-01,.
1970-01-02,93.03714
1970-01-05,93.30239
1970-01-06,92.97082
1970-01-07,92.83820
1970-01-08,92.70557
1970-01-09,92.57294
1970-01-12,92.77188
1970-01-13,92.54642
1970-01-14,92.44032
1970-01-15,92.30769
1970-01-16,92.17507
1970-01-19,92.17507
1970-01-20,92.30769
1970-01-21,92.44032
1970-01-22,92.83820
1970-01-23,92.81167
1970-01-26,92.78515
1970-01-27,92.83820
1970-01-28,92.81167
1970-01-29,92.86472
1970-01-30,92.81167
1970-02-02,92.79841
1970-02-03,92.83820
1970-02-04,92.83820
1970-02-05,92.83820
1970-02-06,92.83820
1970-02-09,92.86472
1970-02-10,92.90451
1970-02-11,92.83820
1970-02-12,92.83820
1970-02-13,92.81167
1970-02-16,92.81167
1970-02-17,92.78515
1970-02-18,92.70557
1970-02-19,92.78515
1970-02-20,92.81167
1970-02-23,92.78515
1970-02-24,92.79841
1970-02-25,92.83820
1970-02-26,92.83820
1970-02-27,92.89125
1970-03-02,92.83820
1970-03-03,92.86472
1970-03-04,92.78515
1970-03-05,92.81167
1970-03-06,92.70557
1970-03-09,92.70557
1970-03-10,92.73210
1970-03-11,92.81167
1970-03-12,92.81167
1970-03-13,92.91777
1970-03-16,92.97082
1970-03-17,93.02387
1970-03-18,93.18302
1970-03-19,93.43501
1970-03-20,93.20955
1970-03-23,93.23607
1970-03-24,93.42175
1970-03-25,93.55438
1970-03-26,93.66048
1970-03-27,.
1970-03-30,.
1970-03-31,93.63395
1970-04-01,93.83289
1970-04-02,93.83289
1970-04-03,93.74005
1970-04-06,93.58090
1970-04-07,93.63395
1970-04-08,93.83289
1970-04-09,93.87268
1970-04-10,93.83289
1970-04-13,93.89920
1970-04-14,94.82759
1970-04-15,94.42971
1970-04-16,94.82759
1970-04-17,94.82759
1970-04-20,94.96021
1970-04-21,95.15915
1970-04-22,95.35809
1970-04-23,95.09284
1970-04-24,94.96021
1970-04-27,94.80106
1970-04-28,95.09284
1970-04-29,95.09284
1970-04-30,95.09284
1970-05-01,95.15915
1970-05-04,95.33156
