DATE,GOLDPMGBD228NLBM
2001-01-02,271.100
2001-01-03,267.150
2001-01-04,267.100
2001-01-05,267.400
2001-01-08,268.300
2001-01-09,267.000
2001-01-10,266.300
2001-01-11,264.150
2001-01-12,263.700
2001-01-15,263.500
2001-01-16,264.450
2001-01-17,263.500
2001-01-18,264.900
2001-01-19,264.900
2001-01-22,266.150
2001-01-23,266.100
2001-01-24,264.250
2001-01-25,264.900
2001-01-26,263.550
2001-01-29,262.850
2001-01-30,264.950
2001-01-31,264.500
2001-02-01,267.650
2001-02-02,266.700
2001-02-05,265.450
2001-02-06,262.700
2001-02-07,263.150
2001-02-08,262.950
2001-02-09,259.900
2001-02-12,261.100
2001-02-13,260.750
2001-02-14,260.250
2001-02-15,258.550
2001-02-16,257.450
2001-02-19,259.450
2001-02-20,256.250
2001-02-21,257.500
2001-02-22,258.850
2001-02-23,260.450
2001-02-26,263.200
2001-02-27,268.300
2001-02-28,266.700
2001-03-01,266.350
2001-03-02,263.100
2001-03-05,262.500
2001-03-06,261.850
2001-03-07,260.650
2001-03-08,263.650
2001-03-09,269.800
2001-03-12,272.500
2001-03-13,269.300
2001-03-14,263.850
2001-03-15,262.050
2001-03-16,260.700
2001-03-19,260.550
2001-03-20,261.550
2001-03-21,262.000
2001-03-22,261.150
2001-03-23,262.850
2001-03-26,262.200
2001-03-27,262.000
2001-03-28,260.150
2001-03-29,260.150
2001-03-30,257.700
2001-04-02,255.950
2001-04-03,257.100
2001-04-04,259.450
2001-04-05,258.100
2001-04-06,258.800
2001-04-09,259.000
2001-04-10,256.650
2001-04-11,257.700
2001-04-12,259.250
2001-04-13,.
2001-04-16,.
2001-04-17,260.550
2001-04-18,258.850
2001-04-19,263.100
2001-04-20,263.850
2001-04-23,262.600
2001-04-24,263.400
2001-04-25,263.500
2001-04-26,263.500
2001-04-27,264.600
2001-04-30,263.150
2001-05-01,264.000
2001-05-02,263.950
2001-05-03,266.400
2001-05-04,266.600
2001-05-07,.
2001-05-08,265.200
2001-05-09,267.850
2001-05-10,268.450
2001-05-11,269.050
2001-05-14,268.350
2001-05-15,266.600
2001-05-16,270.900
2001-05-17,274.000
2001-05-18,273.000
2001-05-21,291.250
2001-05-22,284.150
2001-05-23,283.150
2001-05-24,286.050
2001-05-25,276.250
2001-05-28,.
2001-05-29,275.750
2001-05-30,271.000
2001-05-31,267.500
2001-06-01,265.400
2001-06-04,266.500
2001-06-05,265.700
2001-06-06,265.500
2001-06-07,266.100
2001-06-08,267.000
2001-06-11,268.500
2001-06-12,269.900
2001-06-13,271.950
2001-06-14,272.400
2001-06-15,272.200
2001-06-18,272.000
2001-06-19,273.400
2001-06-20,271.500
2001-06-21,271.700
2001-06-22,273.300
2001-06-25,272.900
2001-06-26,274.000
2001-06-27,274.800
2001-06-28,269.500
2001-06-29,270.600
2001-07-02,268.350
2001-07-03,268.500
2001-07-04,267.600
2001-07-05,266.300
2001-07-06,265.100
2001-07-09,266.100
2001-07-10,267.450
2001-07-11,267.550
2001-07-12,266.300
2001-07-13,266.350
2001-07-16,268.250
2001-07-17,267.600
2001-07-18,268.550
2001-07-19,270.300
2001-07-20,269.700
2001-07-23,268.700
2001-07-24,268.750
2001-07-25,268.400
2001-07-26,267.500
2001-07-27,266.150
2001-07-30,266.300
2001-07-31,265.900
2001-08-01,267.350
2001-08-02,267.000
2001-08-03,267.850
2001-08-06,267.200
2001-08-07,266.450
2001-08-08,266.400
2001-08-09,270.000
2001-08-10,275.800
2001-08-13,275.600
2001-08-14,274.500
2001-08-15,275.350
2001-08-16,275.900
2001-08-17,277.450
2001-08-20,276.650
2001-08-21,276.300
2001-08-22,275.850
2001-08-23,274.850
2001-08-24,272.800
2001-08-27,.
2001-08-28,271.050
2001-08-29,272.850
2001-08-30,272.300
2001-08-31,273.000
2001-09-03,273.350
2001-09-04,272.300
2001-09-05,271.300
2001-09-06,272.050
2001-09-07,273.600
2001-09-10,271.500
2001-09-11,287.000
2001-09-12,279.000
2001-09-13,280.250
2001-09-14,285.750
2001-09-17,293.250
2001-09-18,289.400
2001-09-19,288.100
2001-09-20,288.500
2001-09-21,292.500
2001-09-24,288.200
2001-09-25,288.000
2001-09-26,291.450
2001-09-27,289.800
2001-09-28,293.100
2001-10-01,290.600
2001-10-02,291.650
2001-10-03,290.100
2001-10-04,290.350
2001-10-05,291.200
2001-10-08,291.850
2001-10-09,290.000
2001-10-10,287.150
2001-10-11,281.850
2001-10-12,281.800
2001-10-15,281.850
2001-10-16,281.100
2001-10-17,281.600
2001-10-18,281.000
2001-10-19,279.150
2001-10-22,275.900
2001-10-23,276.050
2001-10-24,275.500
2001-10-25,276.700
2001-10-26,277.250
2001-10-29,278.600
2001-10-30,280.400
2001-10-31,278.750
2001-11-01,280.600
2001-11-02,279.900
2001-11-05,278.250
2001-11-06,278.950
2001-11-07,280.300
2001-11-08,279.950
2001-11-09,277.150
2001-11-12,280.000
2001-11-13,276.500
2001-11-14,278.250
2001-11-15,275.450
2001-11-16,274.500
2001-11-19,273.600
2001-11-20,272.950
2001-11-21,272.800
2001-11-22,272.750
2001-11-23,273.100
2001-11-26,272.600
2001-11-27,273.300
2001-11-28,274.400
2001-11-29,274.800
2001-11-30,275.500
2001-12-03,276.350
