DATE,GOLDPMGBD228NLBM
2004-01-01,399.750
2004-02-01,395.850
2004-03-01,423.700
2004-04-01,388.500
2004-05-01,393.250
2004-06-01,395.800
2004-07-01,391.400
2004-08-01,407.250
2004-09-01,415.650
2004-10-01,425.550
2004-11-01,453.400
2004-12-01,435.600
2005-01-01,422.150
2005-02-01,435.450
2005-03-01,427.500
2005-04-01,435.700
2005-05-01,414.450
2005-06-01,437.100
2005-07-01,429.000
2005-08-01,433.250
2005-09-01,473.250
2005-10-01,470.750
2005-11-01,495.650
2005-12-01,513.000
2006-01-01,568.750
2006-02-01,556.000
2006-03-01,582.000
2006-04-01,644.000
2006-05-01,653.000
2006-06-01,613.500
2006-07-01,632.500
2006-08-01,623.500
2006-09-01,599.250
2006-10-01,603.750
2006-11-01,646.700
2006-12-01,632.000
2007-01-01,650.500
2007-02-01,664.200
2007-03-01,661.750
2007-04-01,677.000
2007-05-01,659.100
2007-06-01,650.500
2007-07-01,665.500
2007-08-01,672.000
2007-09-01,743.000
2007-10-01,789.500
2007-11-01,783.500
2007-12-01,833.750
2008-01-01,923.250
2008-02-01,971.500
2008-03-01,933.500
2008-04-01,871.000
2008-05-01,885.750
2008-06-01,930.250
2008-07-01,918.000
2008-08-01,833.000
2008-09-01,884.500
2008-10-01,730.750
2008-11-01,814.500
2008-12-01,869.750
2009-01-01,919.500
2009-02-01,952.000
2009-03-01,916.500
2009-04-01,883.250
2009-05-01,975.500
2009-06-01,934.500
2009-07-01,939.000
2009-08-01,955.500
2009-09-01,995.750
2009-10-01,1040.000
2009-11-01,1175.750
2009-12-01,1087.500
2010-01-01,1078.500
2010-02-01,1108.250
2010-03-01,1115.500
2010-04-01,1179.250
2010-05-01,1207.500
2010-06-01,1244.000
2010-07-01,1169.000
2010-08-01,1246.000
2010-09-01,1307.000
2010-10-01,1346.750
2010-11-01,1383.500
2010-12-01,1405.500
2011-01-01,1327.000
2011-02-01,1411.000
2011-03-01,1439.000
2011-04-01,1535.500
2011-05-01,1536.500
2011-06-01,1505.500
2011-07-01,1628.500
2011-08-01,1813.500
2011-09-01,1620.000
2011-10-01,1722.000
2011-11-01,1746.000
2011-12-01,1531.000
2012-01-01,1744.000
2012-02-01,1770.000
2012-03-01,1662.500
2012-04-01,1651.250
2012-05-01,1558.000
2012-06-01,1598.500
2012-07-01,1622.000
2012-08-01,1648.500
2012-09-01,1776.000
2012-10-01,1719.000
2012-11-01,1726.000
2012-12-01,1657.500
2013-01-01,1664.750
2013-02-01,1588.500
2013-03-01,1598.250
2013-04-01,1469.000
2013-05-01,1394.500
2013-06-01,1192.000
2013-07-01,1314.500
2013-08-01,1394.750
2013-09-01,1326.500
2013-10-01,1324.000
2013-11-01,1253.000
2013-12-01,1204.500
2014-01-01,1251.000
2014-02-01,1326.500
2014-03-01,1291.750
2014-04-01,1288.500
2014-05-01,1250.500
2014-06-01,1315.000
2014-07-01,1285.25
2014-08-01,1285.750
2014-09-01,1216.500
2014-10-01,1164.250
2014-11-01,1182.750
2014-12-01,1206.000
2015-01-01,1260.250
2015-02-01,1214.000
2015-03-01,1187.000
2015-04-01,1180.250
2015-05-01,1191.400
2015-06-01,1171.000
2015-07-01,1098.400
2015-08-01,1135.000
2015-09-01,1114.000
2015-10-01,1142.350
2015-11-01,1061.900
2015-12-01,1060.000
2016-01-01,1111.800
2016-02-01,1234.900
2016-03-01,1237.000
2016-04-01,1285.650
2016-05-01,1212.100
2016-06-01,1320.750
2016-07-01,1342.000
2016-08-01,1309.250
2016-09-01,1322.500
2016-10-01,1272
2016-11-01,1178.100
2016-12-01,1145.900
2017-01-01,1212.8
2017-02-01,1255.6
2017-03-01,1244.85
2017-04-01,1266.450
2017-05-01,1266.200
2017-06-01,1242.25
2017-07-01,1267.55
2017-08-01,1311.75
2017-09-01,1283.10
2017-10-01,1270.15
2017-11-01,1280.20
2017-12-01,1291.00
2018-01-01,1345.05
2018-02-01,1317.85
2018-03-01,1323.85
2018-04-01,1313.20
2018-05-01,1305.35
2018-06-01,1250.45
2018-07-01,1220.95
2018-08-01,1202.45
2018-09-01,1187.25
2018-10-01,1214.95
2018-11-01,1217.55
2018-12-01,1279.00
2019-01-01,1323.25
2019-02-01,1319.15
2019-03-01,1295.40
2019-04-01,1282.30
2019-05-01,1295.55
2019-06-01,1409.00
2019-07-01,1427.55
2019-08-01,1528.40
2019-09-01,1485.30
2019-10-01,1510.95
2019-11-01,1460.15
2019-12-01,1514.75
2020-01-01,1584.20
2020-02-01,1609.85
2020-03-01,1608.95
2020-04-01,1702.75
2020-05-01,1728.70
2020-06-01,1768.10
2020-07-01,1964.90
2020-08-01,1957.35
2020-09-01,1886.90
2020-10-01,1881.85
2020-11-01,1762.55
2020-12-01,1887.60
2021-01-01,1863.80
2021-02-01,1742.85
2021-03-01,1691.05
2021-04-01,1767.65
2021-05-01,1899.95
